5-22-2025 Slowly Updating for 4.1.1,A Spectrum post for a brief explanation - https://robertsspaceindustries.com/spectrum/community/SC/forum/3/thread/keybind-spreadsheet-updated-for-3-18-0-for-you,,,,
Acceleration Limiter Up / Down (Rel.),,,NONE,,
Acceleration Limiter Up / Down (Abs.),,,,,
Match Target Velocity,,,,,"I don't believe this currently works, and hasn't for some time now."
Spacebrake,,X,,,There is a long standing issue applying this with an axis. The brake often remains engaged after releasing said axis. Tap X to disengage.
Lock Pitch/Yaw Movement (Toggle / Hold),,R Shift,NONE,NONE,"WARNING! I don't know how this is useful, but I do know many have accidntally bumped this, and lost the ability to pitch and yaw. Might be good to remove it, and us that large button for something more desirable."
G-force safety On,,,L Ctrl+G DT,,
G-force safety Off,,,R Ctrl+G DT,,
G-force safety On / Off (Toggle / Hold),,,G DT,G DT,
E.S.P Toggle On / Off (Press),,,X DT,X DT,
E.S.P Enable Temporarily (Hold),,,,,
Landing System (Toggle),,N,L,L,"Mine will conflict with default Lights. Change it to N for Night and L for Landing (so many asking for night vision, this might make more sense."
Landing System (Deploy),,,L Ctrl+L,,
Landing System (Retract),,,R Ctrl+L,,
Toggle VTOL,,K,V DT,V DT,Alt Mine will conflict with default Lock Pitch/Yaw Movement (Toggle / Hold). But R Shift seems to be a nice key for something more important in a pinch.
Expand Configuration,,,L Ctrl+K,,Mine will conflict with default Cycle Configuration.
Retract Configuration,,,R Ctrl+K,,Mine will conflict with default Port Lock Toggle All.
Cycle Configuration,,L Alt + K,K,K,
Autoland,Hold,N,L,L,"This only works when you are close enough to a pad, and only at places that have the advanced tech in lore for it. IE: Outposts may not work. Hearing this is not working in 3.23."
Request Landing,,L Alt + N,9 DT,9 DT,
Request Cargo Loading,,R Alt + N,R Alt+L,R Alt+L,
Cycle Master Mode (Short Press),,,E,E,
Cycle Master Mode (Long Press),,B,,,3.24.2 Mine is really conflicting with Mine various modes above.
Set Master Mode to Nav,,,R Ctrl+M,,
Set Master Mode to SCM,,,L Ctrl+M,,
Jump Drive - Request Jump,,Button 1 (mouse),J,J,
Gravity Compensation - Toggle,,,,,
Gravity Compensation - Enable,,,L Ctrl+G,,
Gravity Compensation - Disable,,,R Ctrl+G,,
Automatic Precision Mode - Toggle,,,R Alt+Q,V,
Automatic Precision Mode - Enable,,,L Alt+V,,
Automatic Precision Mode - Disable,,,R Alt+V,,
@ui_v_ifcs_proximity_assist_toggle,,,,,"Players should really understand what this is, and how it effects your ships flight physics. https://www.youtube.com/watch?v=Puck8YVoVlY"
@ui_v_ifcs_proximity_assist_on,,,,,
@ui_v_ifcs_proximity_assist_off,,,,,
Reset Flight Accelorator,,,,,
Adavanced HUD Toggle,,,,,
Adavanced HUD Enable,,,,,
Adavanced HUD Disable,,,,,
Flight - Quantum Travel,,,,,
Engage Quantum Drive (Hold),Hold,Button 1 (mouse),L Alt+Q,Q,
Flight - Docking,,,,,
Toggle Docking Mode,,N,D,D,
Invoke Docking,Hold,N,D,D,
Toggle Docking Camera,,0,R Ctrl,R Ctrl,
Flight - Target Hailing,,,,,
Hail Target,,9,,,
Flight - Radar,,,,,
Activate Ping (Hold & Release),Hold,Tab,???,???,
Vehicles - Scanning,,,,,
Activate Scanning,,Button 1 (mouse),,,
Scanning Increase Radar Angle,,Mouse Wheel Up,],],
Scanning Decrease Radar Angle,,Mouse Wheel Down,[,[,
Vehicles - Weapons,,,,,There may be a way to set a default to many of the following controls in game settings.
Manual Gimbal Mode - Swap VJoy/Look Direction (Toggle/Hold),,Left Alt + G,R Alt+G DT,,
Manual Gimbal Mode - Lock Aim Vector,,Right Alt + G,L Alt+G DT,,3.23 Can't seem to get this to work. Removed in 3.24.2. Wouldn't mind seeing it return.
Cycle Gimbal Assist / Standard Gimbal / Gimbal Lock modes,,G,,,
Cycle Fixed / Auto Gimbal Modes,,,,,3.23 This no longer functions. Auto gimbals have been removed.
Set Fixed Gimbal Mode (Long Press),,,,,
Set Auto Gimbal Mode (Long Press),,,,,
Set Manual Gimbal Mode (Long Press),,,,,
Set Fixed Gimbal Mode (Short Press),,,L Alt+G,L Alt+G,
Set Auto Gimbal Mode (Short Press),,,,,
Set Manual Gimbal Mode (Short Press),,,R Alt+G,R Alt+G,
Supress Aim Assists (Hold),,,,,
Cycle Fire Mode (Staggered / Combined),,,\ DT,\ DT,
Toggle Lead / Lag PIPs,,,,,
Set Lag PIPs,,,L Alt+X,L Alt+X,
Set Lead PIPs,,,R Alt+X,R Alt+X,
PIP Combination Type (Toggle),,,,,
PIP Combination Type - Set One PIP Per Weapon,,,/,/,
PIP Combination Type - Set One PIP Per Weapon Type,,,/ DT,/ DT,
PIP Precision Lines Toggle,,,,,
PIP Precision Lines On,,,,,
PIP Precision Lines Off,,,,,
PIP Fading Toggle,,,,,
PIP Fading On,,,Period,Period,
PIP Fading Off,,,Comma,Comma,
Gunnery UI Magnification Toggle,,,,,
Gunnery UI Magnification On,,,,,
Gunnery UI Magnification Off,,,,,
Manual Convergence Distance (rel),,,,,Convergence distance can be set to a default distance in game settings
Manual Convergence Distance - Increase,,,,,
Manual Convergence Distance - Decrease,,,,,
Manual Convergence Distance (abs),,,,,
Manual Convergence Distance - Reset,,,,,
Weapon Preset - Fire,,Button 1 (mouse),,,
Weapon Presets - Fire Guns Group 1,,,,,
Weapon Presets - Fire Guns Group 2,,,,,
Weapon Presets - Fire Guns Group 3,,,,,
Weapon Presets - Fire Guns Group 4,,,,,
Weapon Presets - Next,,Mouse Wheel Down,R Alt+W,R Alt+W,
Weapon Presets - Previous,,Mouse Wheel Up,L Alt+W,L Alt+W,
Weapon Presets - Next (overflow),,,,,
Weapon Presets - Previous (overflow),,,,,
Weapon Presets - Set Guns Group,,,,,
Weapon Presets - Set Guns Group 1,,,,,
Weapon Presets - Set Guns Group 2,,,,,
Weapon Presets - Set Guns Group 3,,,,,
Weapon Presets - Set Guns Group 4,,,,,
Weapon Presets - Set EMPs,,,,,
Weapon Presets - Set Quantum Jammers (short range),,,,,
Weapon Presets - Set Quantum Snares/Pulse (long range),,,,,
Weapon Presets - Set QIDs,,,,,
Precision Targeting - Enable (Hold),,,,,These have been removed in 3.24.2. They are now in Vehicles - View with very different wording.
Precision Targeting - Toggle,,L Alt + Button 2 (mouse),8 DT,8 DT,
Precision Targeting - Max Zoom (Hold),,L Alt + Button 2 (mouse),8,8,This is active as long as you hold it. Its quite impressive. Now if we could get this feature on our helmets.
Precision Targeting - Toggle Camera Tracking,,R Alt + Button 2 (mouse),R Ctrl,R Ctrl,
Vehicles - Missiles,,,,,
Launch Missiles (Tap),,Button 1 (mouse),,,
Launch Missiles (Hold),,,,,
Cycle Next Missile Type,,Mouse Wheel Down,Right,R Alt+RMB,
Cycle Previous Missile Type,,Mouse Wheel Up,Left,R Alt+LMB,
Increase Number Of Armed Missiles,,G,Up,L Alt+RMB,
Decrease Number Of Armed Missiles,,,Down,L Alt+LMB,
Reset Number Of Armed Missiles,,L Alt + G,R,L Alt+MMB,
Bombs - Toggle Desired Impact Point (Tap),,L Alt + B,T,T,
Bombs - Toggle Desired Impact Point (Hold),,,NONE,,
Bombs - Increase HUD Range,,,Up,L Alt+RMB,
Bombs - Decrease HUD Range,,,Down,L Alt+LMB,
Bombs - Reset HUD Range,,,R,L Alt+MMB,
Enable Cinematic Camera (Toggle),,,L Ctrl,,
Enable Cinematic Camera (Hold),,,,,
Vehicles - Shields And Countermeasures,,,,,
Decoy - Launch Burst (Tap) Set And Launch Burst (Hold),,H,Semicolon,,
Decoy - Increase Burst Size (Tap),,R Alt + H,R Alt+Semi,,
Decoy - Decrease Burst Size (Tap),,L Alt + H,L Alt+Semi,,
Decoy - Panic Launch (Tap),,,,,
Noise - Deploy (Tap),,J,Apostraphe,,
Shield Raise Level Front,,,Numpad 8,Home,"These keys could be useful to some, by being less finicky than getting fat fingers into the number pad."
Shield Raise Level Back,,,Numpad 5,End,"Mine just made more sense to me. Also leaving me Numpad 1, 2, and 3 open for something else. Like pinning targets, or used for power bindings for example."
Shield Raise Level Left,,,Numpad 4,Delete,
Shield Raise Level Right,,,Numpad 6,Pg Dn,
Shield Raise Level Top,,,Numpad 8 DT,Insert,
Shield Raise Level Bottom,,,Numpad 5 DT,Pg Up,
Shield Reset Levels,,,Numpad 0,R Ctrl,
Flight - Power,,,,,"When it comes to this category, I see engines, shields, weapons being listed in alphebetical order left to right, and bind accordingly to match that order left to right. Just like I O P are layed out alphabetically on my keyboard. Much easier for me to remember."
Toggle Power - All,,U,,Np Decimal,(U)p and running
Set Power On,,,R Ctrl+U,,
Set Power Off,,,L Ctrl+U,,
Toggle Power - Thrusters,,I,,Np 1,(I)gnition start
Set Thrusters Power On,,,R Ctrl+I,,
Set Thrusters Power Off,,,L Ctrl+I,,
Toggle Power - Shields,,O,,Np 2,Looks like a bubble
Set Shields Power On,,,R Ctrl+O,,
Set Shields Power Off,,,L Ctrl+O,,
Toggle Power - Weapons,,P,,Np3,(P)unch you in the face
Set Weapons Power On,,,R Ctrl+P,,
Set Weapons Power Off,,,L Ctrl+P,,
Decrease Throttle,,F9,NONE,,"Caution: I tested these next four to see what they do, and they borked my ship to a point of nearly abandoning it. They definitely don't do what one might think."
Decrease Throttle To Min,Double Tap,F9,NONE,,
Increase Throttle,,F10,NONE,,
Increase Throttle To Max,Double Tap,F10,NONE,,
Engines - Increase (Tap),,F6,R Alt + I,Np 7,
Engines - Decrease (Tap),,F6 + L Alt,L Alt + I,Np 4,
Engines - Set To Max (hold),Hold,F6,R Alt + I,Np 7,
Engines - Set To Min (hold),Hold,F6 + L Alt,L Alt + I,Np 4,
Shields - Increase (Tap),,F7,R Alt + O,Np 8,
Shields - Decrease (Tap),,F7 + L Alt,L Alt + O,Np 5,
Shields - Set To Max (hold),Hold,F7,R Alt + O,Np 8,
Shields - Set To Min (hold),Hold,F7 + L Alt,L Alt + O,Np 5,
Weapons - Increase (Tap),,F5,R Alt + P,Np 9,
Weapons - Decrease (Tap),,F5 + L Alt,L Alt + P,Np 6,
Weapons - Set To Max (hold),Hold,F5,R Alt + P,Np 9,
Weapons - Set To Min (hold),Hold,F5 + L Alt,L Alt + P,Np 6,
Reset Assingments,,F8,R DT,Np 0,
Flight - HUD,,,,,
Cycle Pitch Ladder Mode,,,,,This did something a while back. But I can't seem to see what it does now.
MobiGlass (Toggle),,F1,,,
Scoreboard,,F1,,,
Map,,F2,,,
Wipe Helmet Visor,,L Alt + X,Backspace,/,"Alt Mine looks like a wiper to me. But I do keep changing this key. I like Backspace. If you accidently hit it, your hand is going to wave in front of your face as a warning. Destruct is a hold anyway."
Lights,,,,,
Headlights (Toggle),,L,N,N,Mine will conflict with default Landing System (Toggle). Changed it to L for Landing.
Headlights,,,,,
Headlights,,,,,
Stop Watch,,,,,
Reset (Long Press),,,,,
Start / Pause (Short Press),,,,,
